user_id,class_name
1,MMA Advanced
2,BJJ Men
3,BJJ Men
4,BJJ Men
5,MMA Intermediate
6,MMA Advanced
7,MMA Advanced
8,Boxing
9,MMA beginners
10,MMA Advanced
11,MMA beginners
12,Boxing
13,MMA beginners
14,BJJ Men
15,MMA beginners
16,Boxing
17,Boxing
18,BJJ Men
19,MMA Advanced
20,Boxing
21,BJJ Men
22,MMA Advanced
23,BJJ Men
24,Muay Thai
25,MMA beginners
26,Muay Thai
27,Boxing
28,Boxing
29,MMA Advanced
30,BJJ Men
31,MMA Intermediate
32,Wrestling
33,MMA beginners
34,Muay Thai
35,MMA beginners
36,Boxing
37,Boxing
38,MMA beginners
39,MMA Advanced
40,MMA Intermediate
41,"Muay Thai, BJJ Men "
42,Muay Thai
43,Muay Thai
44,MMA Intermediate
45,MMA beginners
46,MMA beginners
47,MMA beginners
48,MMA Intermediate
49,BJJ Men
50,BJJ Men
51,Muay Thai
52,MMA beginners
53,MMA beginners
54,Muay Thai
55,BJJ Men
56,BJJ Men
57,MMA beginners
58,BJJ Men
59,MMA beginners
60,MMA Intermediate
61,Boxing
62,Boxing
63,"BJJ Men , MMA beginners"
64,MMA beginners
65,Boxing
66,MMA beginners
67,Boxing
68,Boxing
69,Boxing
70,MMA beginners
71,"MMA Intermediate , Muay Thai"
72,"BJJ Men , Wrestling "
73,MMA beginners
74,MMA beginners
75,MMA Intermediate
76,Boxing
77,"MMA Intermediate , Boxing "
78,Boxing
79,Boxing
80,MMA beginners
81,MMA beginners
82,MMA beginners
83,MMA Advanced
84,BJJ Men
85,MMA Intermediate
86,BJJ Men
87,Boxing
88,Boxing
89,Boxing
90,MMA Advanced
91,"MMA beginners, BJJ Men "
92,Muay Thai
93,MMA Intermediate
94,"Boxing , BJJ Men "
95,"BJJ Men , Muay Thai"
96,MMA beginners
97,BJJ Men
98,MMA beginners
99,MMA beginners
100,Muay Thai
101,MMA beginners
102,MMA beginners
103,Muay Thai
104,MMA beginners
105,MMA beginners
106,Boxing
107,Boxing
108,MMA beginners
109,Boxing
110,"MMA Intermediate , BJJ Men "
111,MMA Intermediate
112,MMA beginners
113,BJJ Men
114,MMA beginners
115,MMA beginners
116,MMA beginners
117,MMA beginners
118,Boxing
119,Boxing
120,MMA Advanced
121,MMA Intermediate
122,BJJ Men
123,"BJJ Men , Boxing "
124,MMA beginners
125,MMA beginners
126,MMA Intermediate
127,"MMA Advanced, Boxing "
128,MMA beginners
129,MMA Advanced
130,Boxing
131,"MMA beginners, BJJ Men "
132,Boxing
133,MMA beginners
134,Boxing
135,MMA beginners
136,Boxing
137,MMA Intermediate
138,BJJ Men
139,BJJ Men
140,MMA beginners
141,MMA Advanced
142,MMA Intermediate
143,Boxing
144,Boxing
145,Boxing
146,BJJ Men
147,"BJJ Men , MMA Intermediate "
148,MMA beginners
149,MMA beginners
150,MMA beginners
151,MMA beginners
152,MMA beginners
153,"Boxing , Muay Thai"
154,MMA beginners
155,Boxing
156,Boxing
157,MMA beginners
158,Boxing
159,MMA beginners
160,Boxing
161,Boxing
162,MMA Intermediate
163,MMA Intermediate
164,MMA beginners
165,MMA beginners
166,BJJ Men
167,MMA Advanced
168,MMA beginners
169,Boxing
170,Boxing
171,Boxing
172,MMA beginners
173,"MMA Intermediate , BJJ Men "
174,Muay Thai
175,BJJ Men
176,MMA beginners
177,MMA Intermediate
178,Boxing
179,Boxing
180,Boxing
181,Muay Thai
182,Boxing
183,MMA beginners
184,Boxing
185,BJJ Men
186,BJJ Men
187,MMA beginners
188,MMA Intermediate
189,BJJ Men
190,MMA Intermediate
191,"MMA beginners, BJJ Men "
192,MMA Intermediate
193,Boxing
194,MMA beginners
195,MMA beginners
196,MMA beginners
197,BJJ Men
198,Boxing
199,Boxing
200,Boxing
201,BJJ Men
202,MMA beginners
203,MMA Intermediate
204,Wrestling
205,Muay Thai
206,MMA Advanced
207,MMA beginners
